id,Date,GE,KO,GOOGL,AAPL,MSFT,AMZN,NVDA,AVGO,COST,META,NFLX,PEP,TSLA,PG,CL,XOM,IBM
0,06-05-1972,3.59,1.37,,,,,,,,,,1.57,,3.04,1.43,2.25,18.84
1,06-06-1972,3.6,1.36,,,,,,,,,,1.57,,3.09,1.44,2.23,18.77
2,06-07-1972,3.52,1.35,,,,,,,,,,1.55,,3.1,1.44,2.23,18.88
3,06-08-1972,3.46,1.35,,,,,,,,,,1.55,,3.07,1.47,2.23,18.76
4,06-09-1972,3.41,1.35,,,,,,,,,,1.55,,3.03,1.49,2.22,18.67
5,06-12-1972,3.45,1.33,,,,,,,,,,1.55,,3.03,1.51,2.25,18.52
6,06-13-1972,3.44,1.33,,,,,,,,,,1.57,,3,1.56,2.28,18.76
7,06-14-1972,3.44,1.35,,,,,,,,,,1.58,,3,1.57,2.33,19.1
8,06-15-1972,3.46,1.35,,,,,,,,,,1.58,,3.01,1.55,2.31,18.98
9,06-16-1972,3.44,1.35,,,,,,,,,,1.58,,3,1.51,2.31,19.04
10,06-19-1972,3.43,1.36,,,,,,,,,,1.57,,2.98,1.51,2.33,18.94
11,06-20-1972,3.46,1.37,,,,,,,,,,1.57,,3.02,1.52,2.34,18.96
12,06-21-1972,3.53,1.39,,,,,,,,,,1.57,,2.98,1.54,2.35,18.98
13,06-22-1972,3.53,1.39,,,,,,,,,,1.58,,2.99,1.54,2.34,18.9
14,06-23-1972,3.49,1.39,,,,,,,,,,1.6,,3,1.51,2.33,18.86
15,06-26-1972,3.47,1.39,,,,,,,,,,1.58,,3,1.52,2.31,18.74
16,06-27-1972,3.46,1.39,,,,,,,,,,1.57,,2.99,1.53,2.3,18.74
17,06-28-1972,3.44,1.39,,,,,,,,,,1.57,,2.94,1.5,2.3,18.66
18,06-29-1972,3.42,1.39,,,,,,,,,,1.57,,2.93,1.52,2.32,18.7
19,06-30-1972,3.42,1.39,,,,,,,,,,1.55,,2.89,1.54,2.32,18.72
20,07-03-1972,3.44,1.4,,,,,,,,,,1.55,,2.92,1.56,2.32,18.87
21,07-04-1972,3.44,1.4,,,,,,,,,,1.55,,2.92,1.56,2.32,18.87
22,07-05-1972,3.46,1.41,,,,,,,,,,1.55,,2.96,1.6,2.33,19.1
23,07-06-1972,3.47,1.44,,,,,,,,,,1.57,,3,1.61,2.34,19.28
24,07-07-1972,3.46,1.42,,,,,,,,,,1.55,,3.04,1.65,2.33,19.3
25,07-10-1972,3.4,1.42,,,,,,,,,,1.55,,3.02,1.64,2.31,19.06
26,07-11-1972,3.41,1.42,,,,,,,,,,1.55,,3.03,1.61,2.3,18.96
27,07-12-1972,3.37,1.41,,,,,,,,,,1.57,,3.05,1.62,2.33,18.9
28,07-13-1972,3.33,1.41,,,,,,,,,,1.57,,3.03,1.62,2.33,18.71
29,07-14-1972,3.36,1.41,,,,,,,,,,1.63,,3.02,1.61,2.34,18.78
30,07-17-1972,3.34,1.42,,,,,,,,,,1.61,,2.92,1.6,2.34,18.53
31,07-18-1972,3.32,1.42,,,,,,,,,,1.6,,2.92,1.58,2.36,18.56
32,07-19-1972,3.27,1.41,,,,,,,,,,1.58,,2.98,1.58,2.35,18.63
33,07-20-1972,3.25,1.42,,,,,,,,,,1.57,,2.93,1.63,2.37,18.66
34,07-21-1972,3.33,1.43,,,,,,,,,,1.57,,2.95,1.65,2.39,18.94
35,07-24-1972,3.38,1.45,,,,,,,,,,1.57,,2.97,1.72,2.43,19.04
36,07-25-1972,3.34,1.47,,,,,,,,,,1.58,,3.02,1.76,2.34,19.01
37,07-26-1972,3.3,1.47,,,,,,,,,,1.58,,3.04,1.74,2.34,18.84
38,07-27-1972,3.27,1.51,,,,,,,,,,1.65,,3.04,1.76,2.36,18.96
39,07-28-1972,3.29,1.5,,,,,,,,,,1.61,,3.01,1.77,2.38,19.01
40,07-31-1972,3.27,1.48,,,,,,,,,,1.61,,2.99,1.79,2.38,19.14
41,08-01-1972,3.27,1.53,,,,,,,,,,1.63,,2.98,1.78,2.36,19.58
42,08-02-1972,3.31,1.52,,,,,,,,,,1.65,,3.03,1.81,2.39,19.54
43,08-03-1972,3.36,1.51,,,,,,,,,,1.63,,3.08,1.79,2.41,19.83
44,08-04-1972,3.4,1.48,,,,,,,,,,1.63,,3.07,1.73,2.4,19.87
45,08-07-1972,3.46,1.48,,,,,,,,,,1.63,,3.08,1.7,2.39,19.95
46,08-08-1972,3.52,1.48,,,,,,,,,,1.61,,3.06,1.69,2.38,19.98
47,08-09-1972,3.57,1.49,,,,,,,,,,1.61,,3.01,1.7,2.34,20.23
48,08-10-1972,3.57,1.51,,,,,,,,,,1.61,,3.03,1.7,2.36,20.23
49,08-11-1972,3.58,1.52,,,,,,,,,,1.63,,3.06,1.69,2.43,20.32
50,08-14-1972,3.6,1.51,,,,,,,,,,1.63,,3.13,1.72,2.45,20.29
51,08-15-1972,3.61,1.5,,,,,,,,,,1.63,,3.15,1.7,2.45,20.07
52,08-16-1972,3.61,1.51,,,,,,,,,,1.63,,3.09,1.63,2.44,19.87
53,08-17-1972,3.48,1.51,,,,,,,,,,1.63,,3.06,1.65,2.46,19.74
54,08-18-1972,3.5,1.52,,,,,,,,,,1.63,,3.07,1.65,2.49,19.66
55,08-21-1972,3.47,1.51,,,,,,,,,,1.63,,3.03,1.65,2.49,19.6
56,08-22-1972,3.48,1.51,,,,,,,,,,1.63,,3.04,1.69,2.54,19.72
57,08-23-1972,3.43,1.51,,,,,,,,,,1.63,,2.97,1.67,2.51,19.72
58,08-24-1972,3.37,1.5,,,,,,,,,,1.61,,2.97,1.67,2.48,19.45
59,08-25-1972,3.4,1.46,,,,,,,,,,1.61,,2.97,1.7,2.46,19.39
60,08-28-1972,3.4,1.45,,,,,,,,,,1.61,,2.97,1.7,2.48,19.3
61,08-29-1972,3.46,1.47,,,,,,,,,,1.63,,2.99,1.7,2.47,19.52
62,08-30-1972,3.47,1.47,,,,,,,,,,1.61,,3,1.74,2.5,19.48
63,08-31-1972,3.46,1.47,,,,,,,,,,1.6,,3,1.76,2.54,19.51
64,09-01-1972,3.49,1.48,,,,,,,,,,1.61,,3.06,1.76,2.54,19.4
65,09-04-1972,3.49,1.48,,,,,,,,,,1.61,,3.06,1.76,2.54,19.4
66,09-05-1972,3.47,1.47,,,,,,,,,,1.6,,3.07,1.76,2.54,19.33
67,09-06-1972,3.46,1.46,,,,,,,,,,1.6,,3.04,1.73,2.54,19.16
68,09-07-1972,3.47,1.46,,,,,,,,,,1.58,,3.05,1.69,2.53,19.08
69,09-08-1972,3.47,1.44,,,,,,,,,,1.57,,3.04,1.71,2.54,19.04
70,09-11-1972,3.46,1.43,,,,,,,,,,1.57,,3.02,1.67,2.5,18.94
